NUMT_ID	Bonobo	Chimpanzee	Human	Gorilla	Sorang	Borang	Catherine	Hermien	Hortense	Kombote	Natalie	Desmond
mPanPan1_numt1	1	1	1	1	1	0	1	1	1	1	1	1
mPanPan1_numt2	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt3	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt4	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt5	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt6	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt7	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt8	1	0	0	0	0	0	1	1	1	1	1	0
mPanPan1_numt9	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt10	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt11	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt12	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt13	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt14	1	0	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt15	1	0	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt16	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt17	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt18	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt19	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt20	1	1	0	0	0	0	1	1	0	1	1	1
mPanPan1_numt21	1	1	1	1	1	1	NaN	NaN	NaN	NaN	NaN	NaN
mPanPan1_numt22	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt23	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt24	1	1	1	1	1	1	1	1	0	1	1	1
mPanPan1_numt25	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt26	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt27	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt28	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt29	1	1	0	0	0	0	1	0	1	1	0	1
mPanPan1_numt30	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt31	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt32	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt33	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt34	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt35	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt36	1	1	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt37	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt38	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt39	1	1	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt40	1	1	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt41	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt42	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt43	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt44	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt45	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt46	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt47	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt48	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt49	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt50	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt51	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt52	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt53	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt54	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt55	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt56	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt57	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt58	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt59	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt60	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt61	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt62	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt63	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt64	1	1	0	1	0	0	0	1	1	1	1	1
mPanPan1_numt65	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt66	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt67	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt68	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt69	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt70	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt71	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt72	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt73	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt74	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt75	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt76	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt77	1	1	1	1	0	0	0	0	0	0	0	0
mPanPan1_numt78	1	0	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt79	1	0	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt80	1	0	1	0	0	0	1	1	0	1	1	0
mPanPan1_numt81	1	1	1	1	0	0	0	0	0	0	0	0
mPanPan1_numt82	1	1	0	1	1	0	1	1	1	1	1	1
mPanPan1_numt83	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt84	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt85	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt86	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt87	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt88	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt89	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt90	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt91	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt92	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt93	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt94	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt95	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt96	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt97	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt98	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt99	1	0	0	0	0	0	1	1	1	1	0	0
mPanPan1_numt100	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt101	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt102	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt103	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt104	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt105	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt106	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt107	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt108	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt109	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt110	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt111	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt112	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt113	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt114	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt115	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt116	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt117	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt118	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt119	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt120	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt121	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt122	1	0	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt123	1	0	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt124	1	0	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt125	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt126	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt127	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt128	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt129	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt130	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt131	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt132	1	1	1	0	0	0	1	0	1	1	1	1
mPanPan1_numt133	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt134	1	0	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt135	1	0	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt136	1	0	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt137	1	0	0	0	1	1	NaN	NaN	NaN	NaN	NaN	NaN
mPanPan1_numt138	1	0	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt139	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt140	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt141	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt142	1	1	0	0	0	0	1	1	1	1	1	0
mPanPan1_numt143	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt144	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt145	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt146	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt147	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt148	1	0	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt149	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt150	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt151	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt152	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt153	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt154	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt155	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt156	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt157	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt158	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt159	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt160	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt161	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt162	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt163	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt164	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt165	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt166	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt167	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt168	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt169	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt170	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt171	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt172	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt173	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt174	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt175	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt176	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt177	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt178	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt179	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt180	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt181	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt182	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt183	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt184	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt185	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt186	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt187	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt188	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt189	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt190	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt191	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt192	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt193	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt194	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt195	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt196	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt197	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt198	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt199	1	1	1	0	0	0	1	1	0	1	1	1
mPanPan1_numt200	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt201	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt202	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt203	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt204	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt205	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt206	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt207	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt208	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt209	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt210	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt211	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt212	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt213	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt214	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt215	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt216	1	1	1	1	0	1	1	1	1	1	1	1
mPanPan1_numt217	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt218	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt219	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt220	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt221	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt222	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt223	1	1	1	1	1	1	0	1	0	0	1	1
mPanPan1_numt224	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt225	1	1	1	1	1	1	0	0	1	0	1	1
mPanPan1_numt226	1	1	1	1	0	0	1	0	1	1	1	1
mPanPan1_numt227	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt228	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt229	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt230	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt231	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt232	1	1	1	1	1	1	1	0	1	1	1	1
mPanPan1_numt233	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt234	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt235	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt236	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt237	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt238	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt239	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt240	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt241	1	1	1	1	1	1	0	1	1	0	1	1
mPanPan1_numt242	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt243	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt244	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt245	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt246	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt247	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt248	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt249	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt250	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt251	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt252	1	1	1	1	1	1	1	1	1	0	1	1
mPanPan1_numt253	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt254	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt255	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt256	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt257	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt258	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt259	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt260	1	0	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt261	1	1	0	0	1	1	0	1	1	1	1	1
mPanPan1_numt262	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt263	1	1	1	1	0	1	1	1	1	1	1	1
mPanPan1_numt264	1	1	1	1	1	0	1	1	1	1	1	1
mPanPan1_numt265	1	1	0	0	0	0	1	1	0	1	1	1
mPanPan1_numt266	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt267	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt268	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt269	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt270	1	1	0	1	0	1	1	1	1	1	1	1
mPanPan1_numt271	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt272	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt273	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt274	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt275	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt276	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt277	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt278	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt279	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt280	1	0	0	0	0	1	1	1	1	1	1	1
mPanPan1_numt281	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt282	1	1	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN
mPanPan1_numt283	1	1	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt284	1	1	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt285	1	1	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt286	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt287	1	1	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt288	1	1	0	0	1	1	1	1	1	1	1	1
mPanPan1_numt289	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt290	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt291	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt292	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt293	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt294	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt295	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt296	1	0	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt297	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt298	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt299	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt300	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt301	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt302	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt303	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt304	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt305	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt306	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt307	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt308	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt309	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt310	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt311	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt312	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt313	1	0	0	0	0	0	1	1	0	0	0	1
mPanPan1_numt314	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt315	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt316	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt317	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt318	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt319	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt320	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt321	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt322	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt323	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt324	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt325	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt326	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt327	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt328	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt329	1	1	0	1	1	1	1	1	1	1	1	1
mPanPan1_numt330	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt331	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt332	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt333	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt334	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt335	1	1	1	1	1	1	NaN	NaN	NaN	NaN	NaN	NaN
mPanPan1_numt336	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt337	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt338	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt339	1	1	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt340	1	1	1	0	0	1	1	1	1	1	1	1
mPanPan1_numt341	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt342	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt343	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt344	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt345	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt346	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt347	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt348	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt349	1	1	1	1	1	1	1	1	1	1	1	1
