Query_Species	NUMT	NUMT_info	Loci	DB_Species	Matches	Counts
mPanTro3	mPanTro3_numt1	NUMT_140bp_70%	-::chr10_hap1_hsa12:14785106-14785246	HG002	['+::HG002#1#chr12:7631970-7633109']	1
mPanTro3	mPanTro3_numt1	NUMT_140bp_70%	-::chr10_hap1_hsa12:14785106-14785246	HG00597	['+::HG00597#1#JBHDUU010000046.1:7631198-7632337']	1
mPanTro3	mPanTro3_numt1	NUMT_140bp_70%	-::chr10_hap1_hsa12:14785106-14785246	HG01358	['+::HG01358#1#CM089061.1:7638488-7639627']	1
mPanTro3	mPanTro3_numt1	NUMT_140bp_70%	-::chr10_hap1_hsa12:14785106-14785246	HG02572	['+::HG02572#1#CM088161.1:7636750-7637890']	1
mPanTro3	mPanTro3_numt1	NUMT_140bp_70%	-::chr10_hap1_hsa12:14785106-14785246	HG04184	['+::HG04184#1#CM086465.1:7701731-7702870']	1
mPanTro3	mPanTro3_numt2	NUMT_317bp_73%	+::chr10_hap1_hsa12:14785482-14785799	HG002	['+::HG002#1#chr12:7632346-7633662']	1
mPanTro3	mPanTro3_numt2	NUMT_317bp_73%	+::chr10_hap1_hsa12:14785482-14785799	HG00597	['+::HG00597#1#JBHDUU010000046.1:7631574-7632890']	1
mPanTro3	mPanTro3_numt2	NUMT_317bp_73%	+::chr10_hap1_hsa12:14785482-14785799	HG01358	['+::HG01358#1#CM089061.1:7638864-7640180']	1
mPanTro3	mPanTro3_numt2	NUMT_317bp_73%	+::chr10_hap1_hsa12:14785482-14785799	HG02572	['+::HG02572#1#CM088161.1:7637126-7638424']	1
mPanTro3	mPanTro3_numt2	NUMT_317bp_73%	+::chr10_hap1_hsa12:14785482-14785799	HG04184	['+::HG04184#1#CM086465.1:7702107-7703423']	1
mPanTro3	mPanTro3_numt3	NUMT_448bp_66%	+::chr10_hap1_hsa12:14786391-14786839	HG002	['+::HG002#1#chr12:7633254-7634703']	1
mPanTro3	mPanTro3_numt3	NUMT_448bp_66%	+::chr10_hap1_hsa12:14786391-14786839	HG00597	['+::HG00597#1#JBHDUU010000046.1:7632482-7633931']	1
mPanTro3	mPanTro3_numt3	NUMT_448bp_66%	+::chr10_hap1_hsa12:14786391-14786839	HG01358	['+::HG01358#1#CM089061.1:7639772-7641221']	1
mPanTro3	mPanTro3_numt3	NUMT_448bp_66%	+::chr10_hap1_hsa12:14786391-14786839	HG02572	['+::HG02572#1#CM088161.1:7638035-7639465']	1
mPanTro3	mPanTro3_numt3	NUMT_448bp_66%	+::chr10_hap1_hsa12:14786391-14786839	HG04184	['+::HG04184#1#CM086465.1:7703015-7704464']	1
mPanTro3	mPanTro3_numt4	NUMT_231bp_71%	-::chr10_hap1_hsa12:14802637-14802868	HG002	['+::HG002#1#chr12:7649645-7650870']	1
mPanTro3	mPanTro3_numt4	NUMT_231bp_71%	-::chr10_hap1_hsa12:14802637-14802868	HG00597	['+::HG00597#1#JBHDUU010000046.1:7649065-7650290']	1
mPanTro3	mPanTro3_numt4	NUMT_231bp_71%	-::chr10_hap1_hsa12:14802637-14802868	HG01358	['+::HG01358#1#CM089061.1:7656154-7657379']	1
mPanTro3	mPanTro3_numt4	NUMT_231bp_71%	-::chr10_hap1_hsa12:14802637-14802868	HG02572	['+::HG02572#1#CM088161.1:7654247-7655475']	1
mPanTro3	mPanTro3_numt4	NUMT_231bp_71%	-::chr10_hap1_hsa12:14802637-14802868	HG04184	['+::HG04184#1#CM086465.1:7719364-7720589']	1
mPanTro3	mPanTro3_numt5	NUMT_100bp_80%	-::chr10_hap1_hsa12:14812207-14812307	HG002	['+::HG002#1#chr12:7659202-7660307']	1
mPanTro3	mPanTro3_numt5	NUMT_100bp_80%	-::chr10_hap1_hsa12:14812207-14812307	HG00597	['+::HG00597#1#JBHDUU010000046.1:7658622-7659727']	1
