Query_Species	Query_NUMT	DB_Species	Matches_NUMT
CHM13	CHM13_numt1	mGorGor1	mGorGor1_numt283
CHM13	CHM13_numt1	mPanPan1	mPanPan1_numt329
CHM13	CHM13_numt1	mPanTro3	mPanTro3_numt326
CHM13	CHM13_numt1	mPonAbe1	(not_in_v1)
CHM13	CHM13_numt1	mPonPyg2	mPonPyg2_numt312
CHM13	CHM13_numt2	mGorGor1	mGorGor1_numt282
CHM13	CHM13_numt2	mPanPan1	mPanPan1_numt328
CHM13	CHM13_numt2	mPanTro3	mPanTro3_numt325
CHM13	CHM13_numt2	mPonAbe1	mPonAbe1_numt305
CHM13	CHM13_numt2	mPonPyg2	mPonPyg2_numt311
CHM13	CHM13_numt3	mGorGor1	mGorGor1_numt281
CHM13	CHM13_numt3	mPanPan1	mPanPan1_numt327
CHM13	CHM13_numt3	mPanTro3	mPanTro3_numt324
CHM13	CHM13_numt3	mPonAbe1	mPonAbe1_numt304
CHM13	CHM13_numt3	mPonPyg2	mPonPyg2_numt310
CHM13	CHM13_numt5	mGorGor1	mGorGor1_numt279
CHM13	CHM13_numt5	mPanPan1	mPanPan1_numt325
CHM13	CHM13_numt5	mPanTro3	mPanTro3_numt322
CHM13	CHM13_numt5	mPonAbe1	(not_in_v1)
CHM13	CHM13_numt5	mPonPyg2	(not_in_v1)
CHM13	CHM13_numt5	mSymSyn1	(not_in_v1)
CHM13	CHM13_numt6	mGorGor1	mGorGor1_numt278
CHM13	CHM13_numt6	mPanPan1	mPanPan1_numt324
CHM13	CHM13_numt6	mPanTro3	mPanTro3_numt321
CHM13	CHM13_numt6	mPonAbe1	mPonAbe1_numt302
CHM13	CHM13_numt6	mPonPyg2	mPonPyg2_numt308
CHM13	CHM13_numt7	mGorGor1	(not_in_v1)
CHM13	CHM13_numt7	mPanPan1	mPanPan1_numt318
CHM13	CHM13_numt7	mPanTro3	mPanTro3_numt320
CHM13	CHM13_numt7	mPonAbe1	mPonAbe1_numt299
CHM13	CHM13_numt7	mPonPyg2	mPonPyg2_numt306
CHM13	CHM13_numt8	mGorGor1	mGorGor1_numt274
CHM13	CHM13_numt8	mPanPan1	mPanPan1_numt315
CHM13	CHM13_numt8	mPanTro3	mPanTro3_numt315
CHM13	CHM13_numt8	mPonAbe1	mPonAbe1_numt295
CHM13	CHM13_numt8	mPonPyg2	mPonPyg2_numt302
CHM13	CHM13_numt10	mGorGor1	mGorGor1_numt273
CHM13	CHM13_numt10	mPanPan1	mPanPan1_numt314
CHM13	CHM13_numt10	mPanTro3	mPanTro3_numt314
CHM13	CHM13_numt10	mPonAbe1	mPonAbe1_numt293
CHM13	CHM13_numt10	mPonAbe1	mPonAbe1_numt294
CHM13	CHM13_numt10	mPonPyg2	mPonPyg2_numt300
CHM13	CHM13_numt10	mPonPyg2	mPonPyg2_numt301
CHM13	CHM13_numt11	mGorGor1	mGorGor1_numt272
CHM13	CHM13_numt11	mPanPan1	mPanPan1_numt312
CHM13	CHM13_numt11	mPanTro3	mPanTro3_numt313
CHM13	CHM13_numt11	mPonAbe1	mPonAbe1_numt292
CHM13	CHM13_numt11	mPonPyg2	mPonPyg2_numt299
CHM13	CHM13_numt12	mGorGor1	mGorGor1_numt271
CHM13	CHM13_numt12	mPanPan1	mPanPan1_numt311
CHM13	CHM13_numt12	mPanTro3	mPanTro3_numt312
CHM13	CHM13_numt12	mPonAbe1	mPonAbe1_numt291
CHM13	CHM13_numt12	mPonPyg2	mPonPyg2_numt298
CHM13	CHM13_numt13	mGorGor1	mGorGor1_numt269
CHM13	CHM13_numt13	mPanPan1	mPanPan1_numt310
CHM13	CHM13_numt13	mPanTro3	(not_in_v1)
CHM13	CHM13_numt13	mPonAbe1	mPonAbe1_numt290
CHM13	CHM13_numt13	mPonPyg2	mPonPyg2_numt297
CHM13	CHM13_numt13	mSymSyn1	(not_in_v1)
CHM13	CHM13_numt14	mGorGor1	mGorGor1_numt268
CHM13	CHM13_numt14	mPanPan1	mPanPan1_numt309
CHM13	CHM13_numt14	mPanTro3	mPanTro3_numt310
CHM13	CHM13_numt14	mPanTro3	mPanTro3_numt311
CHM13	CHM13_numt14	mPonAbe1	mPonAbe1_numt288
CHM13	CHM13_numt14	mPonAbe1	mPonAbe1_numt289
CHM13	CHM13_numt14	mPonPyg2	mPonPyg2_numt295
CHM13	CHM13_numt14	mPonPyg2	mPonPyg2_numt296
CHM13	CHM13_numt15	mGorGor1	mGorGor1_numt268
CHM13	CHM13_numt15	mPanPan1	mPanPan1_numt309
CHM13	CHM13_numt15	mPanTro3	mPanTro3_numt310
CHM13	CHM13_numt15	mPanTro3	mPanTro3_numt311
CHM13	CHM13_numt15	mPonAbe1	mPonAbe1_numt288
CHM13	CHM13_numt15	mPonAbe1	mPonAbe1_numt289
CHM13	CHM13_numt15	mPonPyg2	mPonPyg2_numt295
CHM13	CHM13_numt15	mPonPyg2	mPonPyg2_numt296
CHM13	CHM13_numt16	mGorGor1	mGorGor1_numt267
CHM13	CHM13_numt16	mPanPan1	mPanPan1_numt307
CHM13	CHM13_numt16	mPanPan1	mPanPan1_numt308
CHM13	CHM13_numt16	mPanTro3	mPanTro3_numt308
CHM13	CHM13_numt16	mPanTro3	mPanTro3_numt309
CHM13	CHM13_numt16	mPonAbe1	mPonAbe1_numt286
CHM13	CHM13_numt16	mPonAbe1	mPonAbe1_numt287
CHM13	CHM13_numt16	mPonPyg2	mPonPyg2_numt294
CHM13	CHM13_numt17	mGorGor1	mGorGor1_numt266
CHM13	CHM13_numt17	mGorGor1	mGorGor1_numt267
CHM13	CHM13_numt17	mPanPan1	mPanPan1_numt306
