Species	Version	Assembly	Haplotype	Chrom	Species_Chrom	HSA	NUMT_Counts	Total_bp	Chrom_Size	Perc_chrom	Density_of_bp	Density_of_events
Bonobo	T2T	mPanPan1	alt	chr1_mat_hsa1	1	1	45	48682	226397566	0.021502881351648455	0.00021502881351648454	1.9876538778689874e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr1_hap2_hsa1	1	1	47	31727	230991892	0.013735114131192102	0.00013735114131192103	2.0347034518423704e-07
Chimpanzee	T2T	mPanTro3	alt	chr1_hap2_hsa1	1	1	46	31436	233523103	0.013461623109727178	0.00013461623109727177	1.969826514338498e-07
Gorilla	T2T	mGorGor1	alt	chr1_mat_hsa1	1	1	48	48770	249594942	0.019539658780425125	0.00019539658780425126	1.9231158939110232e-07
Siamang	T2T	mSymSyn1	alt	chr1_hap2	1	1	13	4913	166267274	0.0029548809466858764	2.9548809466858765e-05	7.818736476066842e-08
Sumatran orangutan	T2T	mPonAbe1	alt	chr1_hap2_hsa1	1	1	44	31124	235168524	0.013234764359876664	0.00013234764359876665	1.870998688583001e-07
Bonobo	T2T	mPanPan1	alt	chr10_pat_hsa12	10	12	26	8057	139824282	0.005762232342448216	5.762232342448217e-05	1.8594767395265438e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr10_hap2_hsa12	10	12	23	14234	135492682	0.010505364415179264	0.00010505364415179264	1.6975086521646976e-07
Chimpanzee	T2T	mPanTro3	alt	chr10_hap2_hsa12	10	12	27	8517	138751773	0.006138299940859134	6.138299940859134e-05	1.9459210802300882e-07
Gorilla	T2T	mGorGor1	alt	chr10_pat_hsa12	10	12	20	7269	159470633	0.00455820602405209	4.5582060240520896e-05	1.25414940818602e-07
Siamang	T2T	mSymSyn1	alt	chr10_hap2	10	10	32	19135	145497007	0.013151473280821509	0.0001315147328082151	2.1993579565523297e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr10_hap2_hsa12	10	12	17	13307	132232842	0.010063309385727337	0.00010063309385727336	1.2856110284614468e-07
Bonobo	T2T	mPanPan1	alt	chr11_pat_hsa9	11	9	41	49491	125725074	0.039364462811928826	0.00039364462811928826	3.261083783494134e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr11_hap2_hsa2b	11	2b	56	71270	141980120	0.05019716844865323	0.0005019716844865324	3.94421416181364e-07
Chimpanzee	T2T	mPanTro3	alt	chr11_hap2_hsa9	11	9	37	39136	122000606	0.0320785291836993	0.000320785291836993	3.032771820821939e-07
Gorilla	T2T	mGorGor1	alt	chr11_pat_hsa2b	11	2b	60	83391	144025524	0.057900153864394205	0.000579001538643942	4.165928255883311e-07
Siamang	T2T	mSymSyn1	alt	chr11_hap2	11	11	24	18796	136328322	0.013787303858988303	0.00013787303858988302	1.7604559087876106e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr11_hap2_hsa2b	11	2b	63	71713	145714809	0.04921462718315748	0.0004921462718315748	4.323513885263371e-07
Bonobo	T2T	mPanPan1	alt	chr12_pat_hsa2a	12	2a	35	24054	123784342	0.019432183110849353	0.0001943218311084935	2.8274981661250825e-07
