Assembly	NUMT_ID	Label	Values	Classification
mPanPan1	mPanPan1_numt8	100000	111011	Mostly 1s and one 0
mPanPan1	mPanPan1_numt28	100000	111111	Only 1s
mPanPan1	mPanPan1_numt60	100000	111111	Only 1s
mPanPan1	mPanPan1_numt67	100000	111111	Only 1s
mPanPan1	mPanPan1_numt87	100000	111111	Only 1s
mPanPan1	mPanPan1_numt99	100000	110011	Mix of 1s and 0s
mPanPan1	mPanPan1_numt102	100000	111111	Only 1s
mPanPan1	mPanPan1_numt111	100000	111111	Only 1s
mPanPan1	mPanPan1_numt112	100000	111111	Only 1s
mPanPan1	mPanPan1_numt114	100000	111111	Only 1s
mPanPan1	mPanPan1_numt115	100000	111111	Only 1s
mPanPan1	mPanPan1_numt116	100000	111111	Only 1s
mPanPan1	mPanPan1_numt117	100000	111111	Only 1s
mPanPan1	mPanPan1_numt118	100000	111111	Only 1s
mPanPan1	mPanPan1_numt119	100000	111111	Only 1s
mPanPan1	mPanPan1_numt120	100000	111111	Only 1s
mPanPan1	mPanPan1_numt121	100000	111111	Only 1s
mPanPan1	mPanPan1_numt133	100000	111111	Only 1s
mPanPan1	mPanPan1_numt139	100000	111111	Only 1s
mPanPan1	mPanPan1_numt210	100000	111111	Only 1s
mPanPan1	mPanPan1_numt237	100000	111111	Only 1s
mPanPan1	mPanPan1_numt253	100000	111111	Only 1s
mPanPan1	mPanPan1_numt313	100000	100110	Mix of 1s and 0s
mPanPan1	mPanPan1_numt317	100000	111111	Only 1s
mPanPan1	mPanPan1_numt353	100000	111111	Only 1s
mPanPan1	mPanPan1_numt394	100000	011111	Mostly 1s and one 0
mPanPan1	mPanPan1_numt408	100000	011010	Mix of 1s and 0s
mPanPan1	mPanPan1_numt431	100000	111111	Only 1s
mPanPan1	mPanPan1_numt438	100000	111111	Only 1s
mPanPan1	mPanPan1_numt471	100000	111111	Only 1s
mPanPan1	mPanPan1_numt495	100000	111111	Only 1s
mPanPan1	mPanPan1_numt499	100000	111111	Only 1s
mPanPan1	mPanPan1_numt500	100000	111111	Only 1s
mPanPan1	mPanPan1_numt512	100000	111111	Only 1s
mPanPan1	mPanPan1_numt519	100000	111111	Only 1s
mPanPan1	mPanPan1_numt520	100000	111111	Only 1s
mPanPan1	mPanPan1_numt521	100000	111111	Only 1s
mPanPan1	mPanPan1_numt529	100000	111111	Only 1s
mPanPan1	mPanPan1_numt530	100000	010010	Mix of 1s and 0s
mPanPan1	mPanPan1_numt534	100000	111111	Only 1s
mPanPan1	mPanPan1_numt543	100000	111111	Only 1s
mPanPan1	mPanPan1_numt553	100000	111111	Only 1s
mPanPan1	mPanPan1_numt558	100000	111111	Only 1s
mPanPan1	mPanPan1_numt565	100000	111111	Only 1s
mPanPan1	mPanPan1_numt568	100000	111111	Only 1s
mPanPan1	mPanPan1_numt569	100000	111111	Only 1s
mPanPan1	mPanPan1_numt570	100000	111111	Only 1s
mPanPan1	mPanPan1_numt571	100000	111111	Only 1s
mPanPan1	mPanPan1_numt572	100000	111111	Only 1s
mPanPan1	mPanPan1_numt573	100000	111111	Only 1s
mPanPan1	mPanPan1_numt574	100000	111111	Only 1s
mPanPan1	mPanPan1_numt575	100000	111111	Only 1s
mPanPan1	mPanPan1_numt576	100000	111111	Only 1s
mPanPan1	mPanPan1_numt577	100000	111111	Only 1s
