Query_Species	NUMT	NUMT_info	Loci
mPanTro3	mPanTro3_numt1	NUMT_140bp_70%	-::chr10_hap1_hsa12:14785106-14785246
mPanTro3	mPanTro3_numt2	NUMT_317bp_73%	+::chr10_hap1_hsa12:14785482-14785799
mPanTro3	mPanTro3_numt3	NUMT_448bp_66%	+::chr10_hap1_hsa12:14786391-14786839
mPanTro3	mPanTro3_numt4	NUMT_231bp_71%	-::chr10_hap1_hsa12:14802637-14802868
mPanTro3	mPanTro3_numt5	NUMT_100bp_80%	-::chr10_hap1_hsa12:14812207-14812307
mPanTro3	mPanTro3_numt6	NUMT_275bp_71%	-::chr10_hap1_hsa12:16598549-16598824
mPanTro3	mPanTro3_numt7	NUMT_210bp_95%	+::chr10_hap1_hsa12:19443788-19443998
mPanTro3	mPanTro3_numt8	NUMT_67bp_94%	-::chr10_hap1_hsa12:33271088-33271155
mPanTro3	mPanTro3_numt9	NUMT_311bp_97%	-::chr10_hap1_hsa12:39429747-39430058
mPanTro3	mPanTro3_numt10	NUMT_163bp_85%	-::chr10_hap1_hsa12:46050678-46050841
mPanTro3	mPanTro3_numt11	NUMT_1678bp_72%	+::chr10_hap1_hsa12:54154217-54155895
mPanTro3	mPanTro3_numt12	NUMT_81bp_77%	+::chr10_hap1_hsa12:54912289-54912370
mPanTro3	mPanTro3_numt13	NUMT_373bp_80%	-::chr10_hap1_hsa12:55588633-55589006
mPanTro3	mPanTro3_numt14	NUMT_1095bp_71%	-::chr10_hap1_hsa12:64257622-64258717
mPanTro3	mPanTro3_numt15	NUMT_1049bp_68%	-::chr10_hap1_hsa12:64261060-64262109
mPanTro3	mPanTro3_numt16	NUMT_363bp_66%	-::chr10_hap1_hsa12:64505184-64505547
mPanTro3	mPanTro3_numt17	NUMT_224bp_81%	+::chr10_hap1_hsa12:68972261-68972485
mPanTro3	mPanTro3_numt18	NUMT_99bp_87%	-::chr10_hap1_hsa12:73521692-73521791
mPanTro3	mPanTro3_numt19	NUMT_69bp_94%	+::chr10_hap1_hsa12:79277986-79278055
mPanTro3	mPanTro3_numt20	NUMT_230bp_97%	-::chr10_hap1_hsa12:109898107-109898337
mPanTro3	mPanTro3_numt21	NUMT_352bp_72%	+::chr10_hap1_hsa12:114986743-114987095
mPanTro3	mPanTro3_numt22	NUMT_62bp_81%	-::chr10_hap1_hsa12:120995955-120996017
mPanTro3	mPanTro3_numt23	NUMT_137bp_78%	+::chr10_hap1_hsa12:131136759-131136896
mPanTro3	mPanTro3_numt24	NUMT_145bp_82%	-::chr10_hap1_hsa12:133392997-133393142
mPanTro3	mPanTro3_numt25	NUMT_204bp_83%	-::chr10_hap1_hsa12:137119461-137119665
mPanTro3	mPanTro3_numt26	NUMT_116bp_78%	+::chr11_hap1_hsa9:4986803-4986919
mPanTro3	mPanTro3_numt27	NUMT_74bp_89%	-::chr11_hap1_hsa9:8576602-8576676
mPanTro3	mPanTro3_numt28	NUMT_81bp_80%	+::chr11_hap1_hsa9:11910487-11910568
mPanTro3	mPanTro3_numt29	NUMT_169bp_78%	+::chr11_hap1_hsa9:26842660-26842829
mPanTro3	mPanTro3_numt30	NUMT_240bp_75%	-::chr11_hap1_hsa9:29154384-29154624
mPanTro3	mPanTro3_numt31	NUMT_203bp_73%	-::chr11_hap1_hsa9:35356887-35357090
mPanTro3	mPanTro3_numt32	NUMT_409bp_77%	+::chr11_hap1_hsa9:36619238-36619647
mPanTro3	mPanTro3_numt33	NUMT_51bp_88%	-::chr11_hap1_hsa9:42633987-42634038
mPanTro3	mPanTro3_numt34	NUMT_619bp_79%	+::chr11_hap1_hsa9:45891036-45891655
mPanTro3	mPanTro3_numt35	NUMT_813bp_77%	+::chr11_hap1_hsa9:46276088-46276901
mPanTro3	mPanTro3_numt36	NUMT_1780bp_74%	+::chr11_hap1_hsa9:46277199-46278979
mPanTro3	mPanTro3_numt37	NUMT_1780bp_74%	-::chr11_hap1_hsa9:46381946-46383726
mPanTro3	mPanTro3_numt38	NUMT_813bp_77%	-::chr11_hap1_hsa9:46384024-46384837
mPanTro3	mPanTro3_numt39	NUMT_149bp_75%	+::chr11_hap1_hsa9:54944350-54944499
mPanTro3	mPanTro3_numt40	NUMT_517bp_84%	-::chr11_hap1_hsa9:58721810-58722327
mPanTro3	mPanTro3_numt41	NUMT_1344bp_75%	-::chr11_hap1_hsa9:58722399-58723743
mPanTro3	mPanTro3_numt42	NUMT_943bp_75%	+::chr11_hap1_hsa9:58723754-58724697
mPanTro3	mPanTro3_numt43	NUMT_503bp_75%	+::chr11_hap1_hsa9:68445843-68446346
mPanTro3	mPanTro3_numt44	NUMT_1810bp_76%	-::chr11_hap1_hsa9:69235343-69237153
mPanTro3	mPanTro3_numt45	NUMT_403bp_80%	-::chr11_hap1_hsa9:69237422-69237825
mPanTro3	mPanTro3_numt46	NUMT_215bp_78%	-::chr11_hap1_hsa9:69238559-69238774
mPanTro3	mPanTro3_numt47	NUMT_96bp_79%	-::chr11_hap1_hsa9:69305143-69305239
mPanTro3	mPanTro3_numt48	NUMT_2425bp_76%	-::chr11_hap1_hsa9:71033671-71036096
mPanTro3	mPanTro3_numt49	NUMT_813bp_77%	-::chr11_hap1_hsa9:72887979-72888792
mPanTro3	mPanTro3_numt50	NUMT_61bp_82%	+::chr11_hap1_hsa9:75775372-75775433
mPanTro3	mPanTro3_numt51	NUMT_172bp_82%	+::chr11_hap1_hsa9:80990858-80991030
mPanTro3	mPanTro3_numt52	NUMT_261bp_77%	-::chr11_hap1_hsa9:82085169-82085430
mPanTro3	mPanTro3_numt53	NUMT_2515bp_84%,NUMT_2521bp_84%	-::chr11_hap1_hsa9:82341724-82344245
mPanTro3	mPanTro3_numt54	NUMT_246bp_70%	-::chr11_hap1_hsa9:82344723-82344969
