Query_Species	NUMT	NUMT_info	Loci	DB_Species	Matches	Counts	Hit_Dissimilarity	Hit_Similarity	Query_CommonName	DB_CommonName	List_Index
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	mGorGor1	+::chr10_mat_hsa12:23259200-23260484	1	0.0	1.0	Gorilla	Gorilla	0
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	mPanPan1	+::chr10_mat_hsa12:13182882-13184157	1	0.214622641509434	0.7853773584905659	Gorilla	Bonobo	0
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	mPanTro3	+::chr10_hap1_hsa12:14784981-14786261	1	0.19103773584905664	0.8089622641509434	Gorilla	Chimpanzee	0
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	mPonAbe1	+::chr10_hap1_hsa12:7775770-7777060	1	0.4559748427672956	0.5440251572327044	Gorilla	Sorang	0
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	mPonPyg2	+::chr10_hap1_hsa12:7795410-7796725	1	0.485062893081761	0.514937106918239	Gorilla	Borang	0
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	CHM13	+::NC_060936.1:7633569-7634848	1	0.16430817610062892	0.8356918238993711	Gorilla	Human	0
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	mGorGor1	+::chr10_mat_hsa12:23259626-23260838	1	0.0	1.0	Gorilla	Gorilla	0
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	mPanPan1	+::chr10_mat_hsa12:13183309-13184506	1	0.2225	0.7775	Gorilla	Bonobo	0
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	mPanTro3	+::chr10_hap1_hsa12:14785408-14786610	1	0.1975	0.8025	Gorilla	Chimpanzee	0
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	mPonAbe1	+::chr10_hap1_hsa12:7776197-7777415	1	0.41	0.5900000000000001	Gorilla	Sorang	0
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	mPonPyg2	+::chr10_hap1_hsa12:7795867-7797080	1	0.43166666666666653	0.5683333333333334	Gorilla	Borang	0
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	CHM13	+::NC_060936.1:7633996-7635197	1	0.19	0.81	Gorilla	Human	0
mGorGor1	mGorGor1_numt3	NUMT_460bp_66%	+::chr10_mat_hsa12:23260619-23261079	mGorGor1	+::chr10_mat_hsa12:23260119-23261579	1	0.0	1.0	Gorilla	Gorilla	0
mGorGor1	mGorGor1_numt3	NUMT_460bp_66%	+::chr10_mat_hsa12:23260619-23261079	mPanPan1	+::chr10_mat_hsa12:13183792-13185247	1	0.13743093922651933	0.8625690607734806	Gorilla	Bonobo	0
mGorGor1	mGorGor1_numt3	NUMT_460bp_66%	+::chr10_mat_hsa12:23260619-23261079	mPanTro3	+::chr10_hap1_hsa12:14785896-14787350	1	0.15676795580110495	0.843232044198895	Gorilla	Chimpanzee	0
