Query_Species	NUMT	NUMT_info	Loci	DB_Species	Matches	Counts	Hit_Dissimilarity	Hit_Similarity
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	HG002	['+::HG002#1#chr12:7632345-7633624']	1	[0.16279069767441862]	[0.8372093023255813]
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	HG00597	['+::HG00597#1#JBHDUU010000046.1:7631573-7632852']	1	[0.16279069767441862]	[0.8372093023255813]
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	HG01358	['+::HG01358#1#CM089061.1:7638863-7640142']	1	[0.16279069767441862]	[0.8372093023255813]
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	HG02572	['+::HG02572#1#CM088161.1:7637125-7638386']	1	[0.2020643112346169]	[0.7979356887653831]
mGorGor1	mGorGor1_numt1	NUMT_284bp_74%	+::chr10_mat_hsa12:23259700-23259984	HG04184	['+::HG04184#1#CM086465.1:7702106-7703385']	1	[0.16279069767441862]	[0.8372093023255813]
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	HG002	['+::HG002#1#chr12:7632772-7633973']	1	[0.1864264767490574]	[0.8135735232509426]
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	HG00597	['+::HG00597#1#JBHDUU010000046.1:7632000-7633201']	1	[0.1864264767490574]	[0.8135735232509426]
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	HG01358	['+::HG01358#1#CM089061.1:7639290-7640491']	1	[0.1864264767490574]	[0.8135735232509426]
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	HG02572	['+::HG02572#1#CM088161.1:7637552-7638735']	1	[0.22583368509919796]	[0.774166314900802]
mGorGor1	mGorGor1_numt2	NUMT_212bp_67%	+::chr10_mat_hsa12:23260126-23260338	HG04184	['+::HG04184#1#CM086465.1:7702533-7703734']	1	[0.1864264767490574]	[0.8135735232509426]
