NUMT	Bonobo	Chimpanzee	Human	Gorilla	Sorang	Borang
mGorGor1_numt1	1	1	1	1	1	1
mGorGor1_numt2	1	1	1	1	1	1
mGorGor1_numt3	1	1	1	1	1	1
mGorGor1_numt4	1	1	1	1	1	1
mGorGor1_numt5	0	0	0	1	0	0
mGorGor1_numt6	1	1	0	1	0	0
mGorGor1_numt7	1	1	0	1	0	0
mGorGor1_numt8	0	0	0	1	0	0
mGorGor1_numt9	1	1	0	1	0	0
mGorGor1_numt10	1	1	0	1	0	0
mGorGor1_numt11	1	1	0	1	0	0
mGorGor1_numt12	1	0	0	1	0	0
mGorGor1_numt13	1	0	0	1	0	0
mGorGor1_numt14	1	1	0	1	0	0
mGorGor1_numt15	1	1	0	1	0	0
mGorGor1_numt16	1	1	0	1	0	0
mGorGor1_numt17	1	1	1	1	1	1
mGorGor1_numt18	1	1	1	1	1	1
mGorGor1_numt19	1	1	0	1	0	0
mGorGor1_numt20	1	1	1	1	1	1
mGorGor1_numt21	1	1	1	1	0	0
mGorGor1_numt22	1	1	1	1	0	0
mGorGor1_numt23	1	1	1	1	0	0
mGorGor1_numt24	1	1	1	1	0	0
mGorGor1_numt25	1	1	1	1	0	0
mGorGor1_numt26	1	1	1	1	0	0
mGorGor1_numt27	1	1	1	1	0	0
mGorGor1_numt28	1	1	1	1	0	0
mGorGor1_numt29	1	1	1	1	0	0
mGorGor1_numt30	0	1	1	1	0	0
mGorGor1_numt31	0	1	1	1	0	0
mGorGor1_numt32	0	1	1	1	0	0
mGorGor1_numt33	0	1	1	1	0	0
mGorGor1_numt34	1	1	0	1	1	1
mGorGor1_numt36	1	1	0	1	0	0
mGorGor1_numt37	1	1	0	1	0	0
mGorGor1_numt39	1	1	1	1	0	0
mGorGor1_numt40	1	1	1	1	0	0
mGorGor1_numt41	1	1	1	1	0	0
mGorGor1_numt42	0	1	1	1	1	1
mGorGor1_numt43	0	1	1	1	1	1
mGorGor1_numt44	0	1	1	1	1	1
mGorGor1_numt45	0	1	1	1	0	0
mGorGor1_numt46	0	1	1	1	0	1
mGorGor1_numt47	0	0	0	1	0	0
mGorGor1_numt48	0	1	1	1	0	0
mGorGor1_numt49	0	1	1	1	1	1
mGorGor1_numt50	0	1	1	1	1	1
mGorGor1_numt51	0	1	1	1	1	1
mGorGor1_numt53	0	1	1	1	1	1
mGorGor1_numt54	1	1	1	1	0	0
mGorGor1_numt55	1	1	1	1	1	1
mGorGor1_numt56	0	1	0	1	0	0
mGorGor1_numt57	1	1	1	1	1	1
mGorGor1_numt58	1	1	1	1	1	1
mGorGor1_numt59	0	0	0	1	0	0
mGorGor1_numt60	1	1	1	1	1	1
mGorGor1_numt61	1	0	1	1	1	1
mGorGor1_numt62	1	1	1	1	1	1
mGorGor1_numt63	1	1	1	1	1	1
mGorGor1_numt64	1	1	1	1	1	1
mGorGor1_numt65	1	1	1	1	1	1
mGorGor1_numt67	1	1	1	1	0	0
mGorGor1_numt68	1	1	1	1	1	1
mGorGor1_numt69	1	1	1	1	1	1
mGorGor1_numt70	1	1	1	1	1	1
mGorGor1_numt71	1	1	1	1	1	1
mGorGor1_numt72	1	1	1	1	1	1
mGorGor1_numt73	1	1	1	1	1	1
mGorGor1_numt74	1	1	1	1	1	1
mGorGor1_numt75	1	1	1	1	1	1
mGorGor1_numt76	1	1	1	1	1	1
mGorGor1_numt77	1	1	1	1	1	1
mGorGor1_numt78	1	1	1	1	0	0
mGorGor1_numt79	1	1	1	1	1	1
mGorGor1_numt80	1	1	0	1	1	1
mGorGor1_numt81	0	1	0	1	1	0
mGorGor1_numt82	1	1	1	1	0	0
mGorGor1_numt83	1	0	1	1	0	0
mGorGor1_numt84	1	1	1	1	0	0
mGorGor1_numt85	1	1	0	1	0	0
mGorGor1_numt86	1	1	0	1	0	0
mGorGor1_numt87	1	1	0	1	0	0
mGorGor1_numt88	1	1	1	1	0	0
mGorGor1_numt89	0	0	1	1	0	0
mGorGor1_numt90	0	0	1	1	1	1
mGorGor1_numt91	0	0	1	1	1	1
mGorGor1_numt92	1	1	1	1	0	0
mGorGor1_numt93	0	0	0	1	0	0
mGorGor1_numt94	1	1	0	1	1	0
mGorGor1_numt95	1	1	0	1	1	1
mGorGor1_numt96	1	1	0	1	1	1
mGorGor1_numt97	1	1	0	1	1	1
mGorGor1_numt98	1	1	0	1	1	1
mGorGor1_numt99	1	1	0	1	1	1
mGorGor1_numt100	1	1	0	1	1	1
mGorGor1_numt101	1	1	0	1	1	1
mGorGor1_numt102	1	1	0	1	0	1
mGorGor1_numt103	1	1	0	1	0	0
mGorGor1_numt104	0	0	0	1	0	0
mGorGor1_numt105	0	0	0	1	0	0
mGorGor1_numt106	0	0	0	1	0	0
mGorGor1_numt107	0	0	0	1	0	0
mGorGor1_numt108	0	0	0	1	0	0
mGorGor1_numt109	0	0	0	1	0	0
mGorGor1_numt110	1	1	0	1	1	1
mGorGor1_numt111	1	1	0	1	1	1
mGorGor1_numt112	1	1	0	1	1	1
mGorGor1_numt113	1	1	0	1	1	1
mGorGor1_numt114	1	1	0	1	1	1
mGorGor1_numt115	1	1	1	1	0	0
mGorGor1_numt116	1	1	0	1	0	0
mGorGor1_numt117	1	1	0	1	1	1
mGorGor1_numt118	1	1	0	1	1	1
mGorGor1_numt119	1	1	0	1	1	1
mGorGor1_numt120	1	1	0	1	1	1
mGorGor1_numt121	1	1	0	1	0	0
mGorGor1_numt122	0	0	0	1	0	0
mGorGor1_numt123	0	0	0	1	0	0
mGorGor1_numt124	1	1	0	1	1	1
mGorGor1_numt125	1	1	0	1	0	0
mGorGor1_numt126	0	0	0	1	0	0
mGorGor1_numt128	1	1	0	1	1	1
mGorGor1_numt129	1	1	0	1	1	1
mGorGor1_numt130	1	1	0	1	1	1
mGorGor1_numt131	1	1	0	1	1	1
mGorGor1_numt132	1	1	1	1	1	1
mGorGor1_numt133	1	1	1	1	1	1
mGorGor1_numt134	1	1	1	1	1	1
mGorGor1_numt135	1	1	1	1	1	1
mGorGor1_numt136	1	1	1	1	1	1
mGorGor1_numt137	1	1	1	1	1	1
mGorGor1_numt138	1	1	1	1	0	0
mGorGor1_numt139	0	0	1	1	0	0
mGorGor1_numt140	1	1	1	1	0	0
mGorGor1_numt141	1	1	1	1	0	0
mGorGor1_numt142	0	0	1	1	0	0
mGorGor1_numt143	0	0	1	1	1	1
mGorGor1_numt144	0	0	1	1	1	1
mGorGor1_numt145	0	0	1	1	1	1
mGorGor1_numt146	0	0	1	1	1	1
mGorGor1_numt147	0	0	1	1	1	1
mGorGor1_numt148	0	0	1	1	0	0
mGorGor1_numt149	0	0	1	1	1	1
mGorGor1_numt150	0	0	1	1	0	1
mGorGor1_numt151	1	1	1	1	0	0
mGorGor1_numt152	1	1	1	1	0	0
mGorGor1_numt153	1	1	1	1	0	0
mGorGor1_numt154	0	0	0	1	0	0
mGorGor1_numt155	1	1	1	1	0	0
mGorGor1_numt156	1	1	1	1	1	1
mGorGor1_numt157	1	1	1	1	1	1
mGorGor1_numt158	1	1	1	1	1	1
mGorGor1_numt159	1	1	1	1	1	1
mGorGor1_numt160	1	1	1	1	1	1
mGorGor1_numt161	1	1	1	1	1	1
mGorGor1_numt162	1	1	1	1	1	1
mGorGor1_numt163	1	1	1	1	1	1
mGorGor1_numt164	1	1	1	1	1	1
mGorGor1_numt165	1	1	1	1	1	1
mGorGor1_numt166	1	1	1	1	0	0
mGorGor1_numt167	1	1	1	1	1	1
mGorGor1_numt168	0	0	0	1	0	0
mGorGor1_numt169	1	1	1	1	1	1
mGorGor1_numt170	1	1	1	1	0	0
mGorGor1_numt171	1	1	1	1	1	1
mGorGor1_numt172	1	1	0	1	1	1
mGorGor1_numt173	1	1	1	1	1	1
mGorGor1_numt174	1	1	1	1	1	1
mGorGor1_numt175	1	1	1	1	1	1
mGorGor1_numt176	1	1	1	1	0	0
mGorGor1_numt177	0	1	0	1	0	0
mGorGor1_numt178	0	0	0	1	0	0
mGorGor1_numt179	1	1	1	1	1	1
mGorGor1_numt180	0	0	0	1	0	0
mGorGor1_numt181	1	1	1	1	1	1
mGorGor1_numt182	0	0	0	1	0	0
mGorGor1_numt183	1	0	1	1	1	1
mGorGor1_numt184	1	1	1	1	0	0
mGorGor1_numt185	1	1	1	1	0	0
mGorGor1_numt186	1	1	1	1	0	0
mGorGor1_numt187	1	1	1	1	0	0
mGorGor1_numt188	1	1	1	1	1	1
mGorGor1_numt189	1	1	1	1	1	1
mGorGor1_numt190	0	0	1	1	1	1
mGorGor1_numt191	0	0	0	1	0	0
mGorGor1_numt192	1	1	1	1	1	1
mGorGor1_numt193	1	1	1	1	0	0
mGorGor1_numt194	1	1	1	1	1	1
mGorGor1_numt195	1	1	1	1	1	1
mGorGor1_numt196	1	1	1	1	0	0
mGorGor1_numt197	1	1	0	1	0	0
mGorGor1_numt198	0	0	0	1	0	0
mGorGor1_numt199	1	1	1	1	1	1
mGorGor1_numt200	1	1	1	1	0	0
mGorGor1_numt201	1	1	1	1	1	1
mGorGor1_numt202	1	1	1	1	0	0
mGorGor1_numt203	1	1	1	1	1	1
mGorGor1_numt204	1	1	1	1	1	1
mGorGor1_numt205	1	1	1	1	1	1
mGorGor1_numt206	1	1	1	1	0	0
mGorGor1_numt207	1	1	1	1	1	1
mGorGor1_numt208	1	1	1	1	1	1
mGorGor1_numt209	0	0	0	1	0	0
mGorGor1_numt210	1	1	1	1	0	0
mGorGor1_numt212	0	1	1	1	1	1
mGorGor1_numt213	0	0	1	1	0	0
mGorGor1_numt214	0	0	0	1	0	0
mGorGor1_numt215	0	0	0	1	0	0
mGorGor1_numt216	0	0	0	1	0	0
mGorGor1_numt217	1	1	1	1	0	0
mGorGor1_numt218	1	1	1	1	1	1
mGorGor1_numt219	1	1	1	1	0	0
mGorGor1_numt220	0	0	0	1	0	0
mGorGor1_numt221	1	0	1	1	1	1
mGorGor1_numt222	0	0	1	1	0	0
mGorGor1_numt223	1	1	1	1	0	0
mGorGor1_numt224	1	1	1	1	0	0
mGorGor1_numt225	0	0	0	1	0	0
mGorGor1_numt226	1	1	1	1	1	1
mGorGor1_numt227	0	0	0	1	0	0
mGorGor1_numt228	1	1	0	1	0	0
mGorGor1_numt229	1	1	0	1	0	0
mGorGor1_numt230	0	0	0	1	0	0
mGorGor1_numt231	0	0	0	1	0	0
mGorGor1_numt232	0	0	0	1	0	0
mGorGor1_numt233	0	0	0	1	0	0
mGorGor1_numt234	0	0	0	1	0	0
mGorGor1_numt235	0	0	0	1	0	0
mGorGor1_numt236	0	0	0	1	0	0
mGorGor1_numt237	1	1	0	1	1	1
mGorGor1_numt238	1	1	0	1	1	1
mGorGor1_numt239	0	0	0	1	0	0
mGorGor1_numt240	0	0	1	1	0	0
mGorGor1_numt241	0	0	1	1	0	0
mGorGor1_numt242	0	0	1	1	0	0
mGorGor1_numt243	0	0	1	1	0	0
mGorGor1_numt244	0	0	1	1	0	0
mGorGor1_numt245	0	0	1	1	0	0
mGorGor1_numt246	0	0	0	1	0	0
mGorGor1_numt247	0	0	0	1	0	0
